beta,MF_gamma,PL_gamma,PLWithLasso_gamma
0.033,1.407,1.407,1.204
0.048,0.988,0.987,0.850
0.062,0.753,0.753,0.644
0.077,0.625,0.625,0.538
0.091,0.532,0.531,0.456
0.106,0.434,0.434,0.371
0.120,0.404,0.404,0.347
0.135,0.355,0.354,0.304
0.149,0.325,0.325,0.279
0.164,0.304,0.304,0.259
0.178,0.279,0.279,0.238
0.193,0.260,0.258,0.219
0.207,0.253,0.250,0.212
0.222,0.232,0.230,0.194
0.236,0.215,0.213,0.179
0.251,0.220,0.214,0.180
0.265,0.212,0.206,0.173
0.280,0.200,0.189,0.158
0.294,0.200,0.186,0.155
0.309,0.194,0.175,0.143
0.323,0.203,0.179,0.147
0.338,0.201,0.170,0.138
0.352,0.203,0.166,0.135
0.367,0.198,0.163,0.133
0.381,0.207,0.157,0.126
0.396,0.215,0.160,0.129
0.410,0.216,0.152,0.121
0.425,0.230,0.152,0.120
0.439,0.231,0.146,0.117
0.454,0.248,0.149,0.117
0.468,0.273,0.154,0.119
0.483,0.274,0.148,0.116
0.497,0.294,0.143,0.109
0.512,0.300,0.142,0.109
0.526,0.319,0.142,0.108
0.541,0.343,0.138,0.104
0.555,0.358,0.141,0.105
0.570,0.390,0.144,0.107
0.584,0.400,0.137,0.099
0.599,0.426,0.142,0.104
