beta,MF_gamma,PL_gamma,PLWithLasso_gamma
0.033,0.963,0.962,0.826
0.048,0.692,0.692,0.594
0.062,0.529,0.529,0.456
0.077,0.426,0.425,0.363
0.091,0.373,0.372,0.318
0.106,0.319,0.319,0.272
0.120,0.286,0.285,0.243
0.135,0.261,0.261,0.223
0.149,0.240,0.240,0.203
0.164,0.222,0.221,0.185
0.178,0.208,0.208,0.175
0.193,0.203,0.202,0.171
0.207,0.189,0.188,0.156
0.222,0.180,0.180,0.150
0.236,0.174,0.170,0.140
0.251,0.174,0.168,0.136
0.265,0.170,0.160,0.128
0.280,0.177,0.166,0.135
0.294,0.176,0.157,0.124
0.309,0.181,0.151,0.118
0.323,0.196,0.159,0.124
0.338,0.214,0.155,0.117
0.352,0.240,0.162,0.122
0.367,0.284,0.168,0.122
0.381,0.324,0.175,0.127
0.396,0.396,0.186,0.129
0.410,0.487,0.195,0.130
0.425,0.593,0.208,0.133
0.439,0.746,0.234,0.138
0.454,0.908,0.256,0.137
0.468,1.101,0.294,0.141
0.483,1.311,0.341,0.147
0.497,1.516,0.365,0.140
0.512,1.770,0.391,0.131
0.526,1.928,0.422,0.142
0.541,2.122,0.424,0.156
0.555,2.357,0.421,0.152
0.570,2.668,0.424,0.181
0.584,2.907,0.423,0.206
0.599,3.162,0.432,0.262
