beta,MF_gamma,PL_gamma,PLWithLasso_gamma
0.033,1.271,1.271,1.085
0.048,0.910,0.910,0.782
0.062,0.698,0.698,0.601
0.077,0.577,0.577,0.496
0.091,0.485,0.485,0.416
0.106,0.411,0.411,0.351
0.120,0.376,0.376,0.322
0.135,0.335,0.335,0.287
0.149,0.300,0.301,0.257
0.164,0.283,0.282,0.240
0.178,0.265,0.262,0.224
0.193,0.243,0.242,0.206
0.207,0.237,0.232,0.196
0.222,0.217,0.213,0.179
0.236,0.210,0.201,0.168
0.251,0.215,0.205,0.172
0.265,0.210,0.187,0.155
0.280,0.210,0.181,0.149
0.294,0.209,0.180,0.149
0.309,0.210,0.172,0.140
0.323,0.214,0.167,0.137
0.338,0.230,0.168,0.137
0.352,0.245,0.163,0.131
0.367,0.238,0.157,0.126
0.381,0.251,0.150,0.118
0.396,0.279,0.157,0.125
0.410,0.285,0.150,0.116
0.425,0.293,0.148,0.114
0.439,0.309,0.147,0.114
0.454,0.315,0.146,0.113
0.468,0.356,0.140,0.105
0.483,0.380,0.148,0.112
0.497,0.403,0.141,0.105
0.512,0.434,0.141,0.101
0.526,0.435,0.145,0.109
0.541,0.462,0.150,0.107
0.555,0.508,0.140,0.100
0.570,0.509,0.146,0.101
0.584,0.569,0.144,0.100
0.599,0.607,0.145,0.100
