beta,MF_gamma,PL_gamma,PLWithLasso_gamma
0.033,0.871,0.870,0.735
0.048,0.583,0.583,0.487
0.062,0.466,0.465,0.393
0.077,0.379,0.379,0.320
0.091,0.314,0.314,0.263
0.106,0.280,0.280,0.236
0.120,0.244,0.244,0.203
0.135,0.227,0.227,0.191
0.149,0.209,0.209,0.173
0.164,0.191,0.191,0.156
0.178,0.178,0.178,0.146
0.193,0.170,0.170,0.138
0.207,0.160,0.160,0.130
0.222,0.155,0.155,0.125
0.236,0.149,0.148,0.119
0.251,0.149,0.146,0.117
0.265,0.145,0.138,0.108
0.280,0.147,0.138,0.107
0.294,0.150,0.135,0.105
0.309,0.151,0.131,0.101
0.323,0.165,0.133,0.101
0.338,0.186,0.133,0.100
0.352,0.213,0.132,0.095
0.367,0.260,0.142,0.099
0.381,0.313,0.148,0.102
0.396,0.400,0.157,0.103
0.410,0.506,0.180,0.113
0.425,0.627,0.198,0.115
0.439,0.781,0.220,0.118
0.454,0.916,0.244,0.120
0.468,1.073,0.272,0.119
0.483,1.225,0.297,0.116
0.497,1.399,0.343,0.128
0.512,1.597,0.369,0.125
0.526,1.795,0.376,0.128
0.541,1.970,0.378,0.137
0.555,2.196,0.381,0.154
0.570,2.427,0.386,0.187
0.584,2.723,0.380,0.206
0.599,3.051,0.363,0.229
